QCM || Question 1 ||  Dans le cas de l'action de stimuli physiologiques en excès, les cellules ne réagissent pas  |  La réponse cellulaire à l'agression dépend de l'intensité et de la durée d'action de l'agent impliqué  |  Les  réversibles aiguës présentent des changements de la différenciation cellulaire |  L'incapacité d'une cellule à s'adapter à un stimulus provoque la mort cellulaire  |  La réponse cellulaire à l'agression est identique pour tous les types cellulaires  |  La lésion est une altération morphologique cellulaire causée par de divers stimuli pathologiques  |  La cellule réagit à l'agression, modifiant son métabolisme et sa structure pour survivre  |  La nécrose est la première manifestation survenant dans la cellule sous l'action d'un agent pathogène d'intensité réduite  |  La réponse cellulaire à l'agression dépend de type cellulaire  |  Dans les  chroniques réversibles ne se produit aucun changement dans la structure cellulaire 
QCM || Question 2 ||  Calcifications métastatiques  |  Involution  |  Hyperplasie  |  Calcifications dystrophiques  |  Hyalinose  |  Amylose  |  Hypertrophie  |  Métaplasie  |  Dégénérescence hydropique  |  Atrophie
QCM || Question 3 ||  Accumulation de pigments  |  Adaptation cellulaire de la différenciation  |  Induration brune  |  Accumulation de lipides  |  Cytostéatonécrose  |  Hyperhydratation cellulaire  |  Nécrose de coagulation  |  Mort cellulaire programmée  |  Adaptation cellulaire de la croissance  |  Accumulation de protéines 
QCM || Question 4 ||  Elle se caractérise par l'accumulation d'eau dans les interstices  |  Elle est caractérisée par lʼaltération de la pompe Na⁺-K⁺ dans la membrane cellulaire  |  Cʼest une lésion irréversible  |  Cʼest la première manifestation survenant dans la cellule sous l'action d'un agent pathogène d'intensité réduite  |  Cʼest une lésion cellulaire réversible aigüe  |  Elle est caractérisée par hyperhydratation cellulaire  |  Cʼest une lésion réversible chronique  |  Elle est déterminée par l'accumulation de liquide d'œdème dans des cavités préformées  |  Elle se caractérise par une accumulation intracellulaire de glycogène  |  Elle est déterminée par la pénétration excessive de l'eau et de Na⁺ dans la cellule et sortie de K⁺ 
QCM || Question 5 ||  L'organe est réduit en volume  |  Elle peut être macronodulaire  |  Clarification complète du cytoplasme (dégénérescence claire)  |  Le cytoplasme est intensément basophile, riche en ribosomes  |  Elle peut être micronodulaire  |  Les sinusoïdes hépatiques sont comprimées  |  Les noyaux maintiennent la position centrale  |  Les cellules hépatiques sont gonflées, pâles et vacuolisées par hyperhydratation  |  Vacuolisation fine du cytoplasme (dégénérescence vacuolaire)  |  Le foie est volumineux, de couleur jaunâtre et de consistance élastique 
QCM || Question 6 ||  Hypertrophie - augmentation du volume dʼun tissu ou dʼun organe par augmentation de la taille des cellules sans multiplication cellulaire  |  Néoplasie - diminution cellulaire autonome  |  Aplasie - l'augmentation du volume d'un organe par surcharge fonctionnelle  |  Hypoplasie - absence totale de développement d'un organe  |  Métaplasie - transformation dʼun tissu normal en un autre tissu normal  |  Atrophie - diminution d'un organe par réduction des dimensions des cellules  |  Atrophie - diminution du volume d'un organe antérieurement normal développé |  Involution - insuffisance de développement embryologique d'un viscère  |  Hyperplasie – est la caractéristique de muscle myocardique  |  Hyperplasie – augmentation du volume dʼun tissu ou dʼun organe par augmentation du nombre de cellules 
QCM || Question 7 ||  Peut apparaître après une stimulation hormonale accrue  |  C'est la réponse adaptative d'une cellule et d'un tissu à différents stimuli  |  C'est une augmentation réversible de la taille de la cellule sans multiplication cellulaire  |  C'est une lésion cellulaire aiguë  |  Intéresse les cellules labiles  |  C'est un processus irréversible  |  C'est un exemple d'accumulation intracellulaire de pigment ferrique  |  Hypertrophie du muscle myocardique chez les sportifs est pathologique  |  Apparaît dans les tissus incapables de se diviser  |  Peut-être physiologique ou pathologique 
QCM || Question 8 ||  Représente la diminution du nombre de cellules  |  Cʼest lʼaugmentation du nombre de cellules dans un organe ou un tissu  |  Peut coexister avec lʼhypertrophie  |  Représente une réaction d'adaptation cellulaire  |  C'est une réaction cellulaire aiguë  |  Cʼest une forme dʼinvolution  |  Intéresse les cellules labiles et stables  |  Ne s'observe pas dans les tissus permanents  |  Cʼest une adaptation des tissus incapables de se diviser  |  Hyperplasie hormonale peut-être physiologique 
QCM || Question 9 ||  Épaississement de la paroi du ventricule gauche >1,5 cm  |  Diamètre transversal des fibres du myocarde est augmenté  |  La cavité du ventricule gauche est dilatée, remplie de sang  |  Augmentation du poids du cœur à 800g  |  Cavité ventriculaire gauche est réduite  |  La principale cause est l'ischémie chronique |  La cause principale est l'hypertension artérielle  |  Les noyaux sont multiples localisées à la périphérie de la cellule  |  L'épaisseur de la paroi ventriculaire est réduite <1,5 cm |  Le myocarde du ventricule gauche est fibrosé 
QCM || Question 10 ||  C'est une réaction d'adaptation physiologique  |  C'est un exemple d'atrophie de dénervation  |  Les faisceaux musculaires sont hypertrophiés, bombant sous la muqueuse |  C'est une foprme d'involution de l'organe affecté  |  Elle apparaît en amont de l'hyperplasie bénigne de la prostate  |  Cʼest une hypertrophie adaptative du muscle vésical  |  C'est la conséquence d'une agénésie de la vessie  |  Elle est la conséquence d'une insuffisance à l'évacuation normale de l'urine vésicale par un obstacle mécanique incomplet  |  Est caractérisée par lʼépaississement du muscle vésical  |  C'est un exemple d'atrophie de dénutrition 
QCM || Question 11 ||  Hyperplasique  |  Aplasique  |  De surcharge  |  De compression  |  Due à des anomalies nutritionnelles  |  Due à perte de lʼinnervation  |  Métaplasique  |  Due à une stimulation hormonale accru
