QCM || Question 1 :   La sémiologie médicale est la partie de la médecine qui étudie : ||   La biologie cellulaire |   Les traitements | V:  Les symptômes | V:  La façon de les relever par des examens complémentaires |   Les maladies |   Lʼanatomie humaine | V:  Les signes | V:  La façon de relever les signes et les symptômes par examen clinique, | V:  La façon de relever les signes et les symptômes par interrogatoire |   La physiopathologie des maladies
QCM || Question 2 :   La fiche médicale contient : ||   Lʼanamnèse de la famille |   Le traitement des maladies de ses parents trouble |   Lʼévolution des maladies de ses parents | V:  Lʼévolution de la maladie du patient |   Les données dʼidentification de la famille |   La situation financière des parents | V:  Les données dʼidentification du malade | V:  Lʼexamen clinique du malade | V:  Lʼanamnèse du malade | V:  Lʼépicrise
QCM || Question 3 :   Les parties de l'anamnèse sont : ||   Les explorations paracliniques |   Lʼexamen clinique du malade |   Le traitement | V:  Lʼhistoire de la maladie | V:  Les motifs de consultation (les symptômes) |   Lʼépicrise | V:  Les antécédents familiaux | V:  Les antécédents personnels | V:  La profession actuelle ou passée et la consommation de tabac, dʼalcool et de drogue, |   Les données dʼidentification
QCM || Question 4 :   Les motifs de consultation (dans lʼanamnèse) peuvent être : || V:  Douleur abdominale | V:  Douleur thoracique |   Lʼachat des médicamentes |   Les problèmes juridiques |   Le chômage |   Les problèmes sociaux | V:  Mal à la tête |   Les problèmes financiers | V:  Dyspnée | V:  Toux productive
QCM || Question 5 :   Les attributs de la douleur sont : || V:  Irradiation |   Lʼhémoptysie | V:  Durée |   Lʼhémorragie |   Hypotension artérielle | V:  Facteurs dʼaggravation ou dʼamélioration | V:  Intensité |   Lʼhématémèse | V:  Localisation |   Hypertension artérielle
QCM || Question 6 :   Les signes vitaux sont : ||   La coloration des ongles | V:  Fréquence respiratoire | V:  Diurèse | V:  Température |   Lʼaspect du visage |   La texture de la peau | V:  Fréquence cardiaque |   Lʼaspect de la chevelure |   Le poids | V:  Pression artérielle
QCM || Question 7 :   Les antécédentes physiologique personnels sont : ||   La pathologie psychiatrique |   La pathologie infectieuse | V:  Âge de la ménopause |   Les allergies | V:  Méthodes contraceptives | V:  Nombre de grossesse, dʼavortements | V:  Age aux premières règles |   Les maladies héréditaires | V:  Dernières règles |   Conditions de la vie et du travail
QCM || Question 8 :   Les caractéristiques dès lʼadénopathies : || V:  Modification du volume des ganglions |   Ne sont pas palpable |   Non-douloureux dans les inflammations aigue | V:  Douloureux dans les inflammations aigue | V:  Consistance dure dans les adénopathies malignes |   Sans modification du volume |   Mobilité dans les adénopathies malignes | V:  Perte de la mobilité dans les adénopathies malignes |   Consistance souple dans les adénopathies malignes | V:  Tendance à confluer
QCM || Question 9 :   Les groupes ganglionnaires palpable sont : ||   Les ganglions médiastinaux | V:  Les ganglions jugulaires externe et interne | V:  Les ganglions retro auriculaire |   Les ganglions intestinaux | V:  Les ganglions occipitaux | V:  Les ganglions submandibulaires |   Les ganglions intrathoraciques |   Les ganglions poplités |   Les ganglions mésentériques | V:  Les ganglions axillaires
QCM || Question 10 :    Les causes de la fièvre : || V:  Les réactions aux médicaments |   Les troubles hématologiques |   Le diabète sucré |   La maladie du reflux gastroœsophagien | V:  Les troubles immunitaires (collagénoses) |   Lʼhypertension artérielle | V:  Le cancer |   Lʼangine de poitrine | V:  Lʼinfection |   Lʼulcère gastroduodénal
QCM || Question 11 :   Les signes accompagnant la fièvre sont : || V:  Frisson | V:  Grelottement | V:  Sensation de froid nécessitant plusieurs couvertures |   Lʼamaigrissement | V:  Refroidissement des extrémités |   Perte de la masse adipeuse |   Lʼanorexie | V:  Sueurs |   Perte de masse musculaire |   Dyspnée
QCM || Question 12 :   La couleur normale des téguments dépend de : || V:  Nombre des globules rouges | V:  Les valeurs de la pression artérielle |   La diurèse |   La fréquence respiratoire | V:  Quantité dʼhémoglobine transportée | V:  Richesse en mélanine |   La fréquence cardiaque | V:  Nombre et calibre des vaisseaux sanguins |   Déshydratation |   Epaisseur de lʼépiderme
QCM || Question 13 :   Les modifications de la couleur des téguments sont : ||   Lʼascite |   Les vésicules | V:  Rougeur |   Œdème | V:  Cyanose |   La circulation veineuse collatérale | V:  Troubles pigmentaires |   Zona zostère | V:  Ictère | V:  Pâleur
QCM || Question 14 :    Les lésions cutanées élémentaires sont : ||   Les modifications des ongles | V:  Papules |   La cyanose |   Les ganglions | V:  Pustule | V:  Nodule | V:  Macules |   Lʼictère |   La rougeur | V:  Vésicules
QCM || Question 15 :    La circulation veineuse collatérale : ||   Disparaît lorsquʼon palpe | V:  Il peut se produire à la suite dʼun obstacle sur les trois troncs veineux profonds | V:  Le tronc cave-cave supérieur indique une tumeur médiastinale | V:  Normalement, les veines sous-cutanées de lʼabdomen ne sont pas visibles | V:  Le tronc porto-cave, périombilical, en tête de méduse |   Il nʼy a aucun lien entre la circulation collatérale et les tumeurs abdominales |   La présence de la circulation collatérale nʼindique pas un phénomène pathologique | V:  Le tronc cave-cave inférieur indique des tumeurs abdominales |   Les veines sous-cutanées de lʼabdomen sont visibles |   Il est présent chez les obèses
QCM || Question 16 :    La cyanose : ||   Est due à une diminution du taux de lʼhémoglobine réduite dans le sang |   Peut intéresser les organes interne | V:  Peut-être rechercher au niveau des lèvres, nez, lit de lʼongles |   Est une coloration jaune des téguments | V:  Est due à une augmentation du taux de lʼhémoglobine réduite dans le sang | V:  Peut intéresser la totalité des téguments | V:  Est la coloration bleue violace des téguments |   Est due à une diminution des plaquettes |   Est due à une augmentation du taux des globules blancs | V:  Est la coloration bleue violace des muqueuses
QCM || Question 17 :    La cyanose centrale : || V:  La cyanose centrale affecte la totalité de lʼorganisme | V:  Elle ne disparaît pas en massant le lobe de lʼoreille | V:  On la trouve dans les maladies cardiaques et pulmonaires aigue |   On la trouve dans les maladies neurologiques |   Est une cyanose « froid » |   Est une conséquence de lʼœdème |   Elle est associée à lʼexposition au soleil | V:  Est une cyanose ‘chaude ” | V:  Est une conséquence du déficit dʼoxygénation du sang |   La peau est pâle
QCM || Question 18 :    La cyanose périphérique : || V:  Cʼest le résultat de la stase au niveau tissulaire |   Elle ne disparaît pas en massant le lobe de lʼoreille |   On ne la voit jamais au niveau des extrémités | V:  Le syndrome Raynaud cʼest une variante particulière de cyanose périphérique |   Est une cyanose ‘chaude ” | V:  La température cutanée est diminuée, est une cyanose « froide » |   Cʼest un trouble de pigmentation de la peau | V:  On la trouve dans les troubles de la circulation artérielle |   On la trouve dans les maladies cardiaques et pulmonaires aigue | V:  On la trouve dans les troubles de la circulation veineuse
