QCM || Question 1 : Les facteurs susceptibles de limiter la biodisponibilité après une administration orale sont les suivants : || V:  forte liaison aux protéines plasmatiques | V:  la solubilité du médicament |  des ingrédients spéciaux qui contrôlent la vitesse de libération de l'agent thérapeutique afin de prolonger la durée d'action. |  petite taille des particules du médicament |  propriété du médicament d'être hautement lipophile | V:  l'instabilité chimique de la substance | V:  bioinactivation dans l'intestin ou au premier passage hépatique |  propriété du médicament d'être très hydrophile | V:  vidange rapide de l'estomac | destruction de la substance active du médicament par les protéases
QCM || Question 2 : On peut dire que: ||   La voie respiratoire évite en totalité la circulation portale |   La voie rectale évite en totalité la circulation portale | V:  La voie rectale évite partiellement la circulation portale |  L'effet de premier passage hépatique nʼest pas pris en compte pour la quantité du médicament qui arrive dans le sang après l'administration orale |   La biodisponibilité, cʼest lʼaffinité dʼun médicament pour un récepteur | V: En administration intraveineuse, le médicament ne passe pas par les barrières dʼabsorption | V:  La voie sublinguale évite en totalité la circulation portale | V:  L'effet de premier passage hépatique nʼest pas pris en compte pour la quantité du médicament qui arrive dans le sang après une administration parentérale |   Tous les médicaments peuvent être administrés par voie orale | V:  En administration intraveineuse, le médicament entre en action plus vite qu'après une administration intramusculaire
QCM || Question 3 : On peut dire que: || V:  L'administration intraveineuse est utilisée pour les médicaments qui peuvent induire des dommages tissulaires | V:  La voie intraveineuse est utilisée pour l'administration de furosémide dans les œdèmes pulmonaires |  On évite la voie intraveineuse pour les médicaments cytotoxiques |  On préfère la voie orale pour les médicaments dont le métabolisme de premier passage est important |  On préfère la voie orale pour l'administration de furosémide dans les œdèmes pulmonaires | V: La voie intraveineuse est utilisée pour des administrations continues des médicaments | V:  L'administration intraveineuse est utilisée pour les médicaments qui peuvent induire des dommages tissulaires |  On évite la voie sublinguale pour les médicaments dont le métabolisme de premier passage est important |  On évite la voie rectale pour les médicaments dont le métabolisme de premier passage est important | V:  En administration intraveineuse, le médicament entre en action plus vite qu'après l'administration intramusculaire
QCM || Question 4 :  On peut dire que: ||   Le transport passif ne dépend pas de la masse moléculaire de la substance médicamenteuse | V:  Les promédicaments sont inactifs |   Oxazépam est transformé dans en métabolite actif nommée Diazépam | V:  L'absorption du médicament se fait au niveau de l'intestin grêle | V:  Acétaminophène est transformé en métabolite intermédiaire toxique | V:  L'absorption des molécules non ionisée est plus facile |   Nordiazépam est transformé dans en métabolite actif nommée Diazépam | V:  L'absorption au niveau digestif est proportionnelle à la liposolubilité des médicaments |   Placenta est une barrière très efficace qu'elle ne laisse rien passer |   La membrane intestinale est une barrière qui ne laisse rien passer
QCM || Question 5 :  On peut dire que: ||  V: La prise des médicaments inducteurs enzymatiques affecte les réactions de biotransformation des médicaments | V:  Les polymorphismes génétiques affectent les réactions de biotransformation des médicaments |  L'effort physique affecte les réactions de biotransformation des médicaments |  Lʼinsuffisance cardiaque affecte les réactions de biotransformation des médicaments | V:  Lʼinsuffisance hépatique affecte les réactions de biotransformation des médicaments | L'hypothyroïdie affecte les réactions de biotransformation des médicaments |  L'administration d'eau affecte les réactions de biotransformation des médicaments | V:  L'âge plus de 65 ans affecte les réactions de biotransformation des médicaments |  L'hyperthyroïdie affecte les réactions de biotransformation des médicaments | V:  La prise des médicaments inhibiteurs enzymatiques affecte les réactions de biotransformation des médicaments
QCM || Question 6 :  On peut dire que: ||   Les produits de métabolisme sont habituellement plus actifs que le médicament parental | V:  La lidocaïne est largement métabolise dans le foie après l'administration par voie orale |   La dopamine est métabolise au lévodopa |   Les produits de métabolisme ne présentent pas une toxicité pour divers organes | V:  Les produits de métabolisme peuvent parfois présente une toxicité pour divers organes |  Les produits de métabolisme ne présentent pas une toxicité spécialement pour le foie | V:  La morphine est largement métabolise dans le foie après l'administration par voie orale | V:  La propranolol est largement métabolise dans le foie après l'administration par voie orale | V:  Les produits de métabolisme peuvent parfois présente une toxicité spécialement pour le foie |   Le principal site du métabolisme des médicaments est le tractus gastro-intestinal
QCM || Question 7 :  On peut dire que: ||  V:  La lidocaïne présente métabolisme de premier passage |  Le principal site du métabolisme pour la majorité des médicaments est l'estomac |  Le principal site du métabolisme pour la majorité des médicaments est l'intestin |  Le principal site du métabolisme pour la majorité des médicaments est le poumon |  Le principal site du métabolisme pour la majorité des médicaments est la peau | V: La morphine présente métabolisme de premier passage | V:  La trinitroglycérine présente métabolisme de premier passage |   Le principal site du métabolisme des médicaments est le rein | V:  La chlorpromazine est métabolise davantage dans l'intestin que dans le foie | V:  La propranolol présente métabolisme de premier passage
QCM || Question 8 :  On peut dire que: ||  V: La carbamazépine peut diminue l'efficacité de la warfarine |  L'érythromycine peut diminue l'efficacité de la warfarine |  L'érythromycine peut diminue l'efficacité de théophylline |  La cimétidine peut diminue l'efficacité de théophylline | V:  Le phénobarbital peut diminue l'efficacité de la warfarine | V: À doses fortes, le paracétamol détermine l'accumulation d'un métabolite hépatotoxique | V:  La rifampicine peut diminue l'efficacité de la warfarine | V:  La phenitoine peut diminue l'efficacité de la warfarine |  La cimétidine peut diminue l'efficacité de phenitoine |  La cimétidine peut diminue l'efficacité de la warfarine
QCM || Question 9 :  On peut dire que: ||   Le métabolisme des médicaments n'est pas influencé par les maladies hépatiques | V:  Le métabolisme des médicaments peut dépendre de facteurs génétiques |   Le métabolisme des médicaments n'est pas influencé par les maladies affectant le foie |   Le métabolisme des médicaments n'est pas influencé par l'âge après 65 ans | V:  La plupart des médicaments sont très lipophiles | V: Les médicaments liés aux protéines plasmatiques ne sont pas filtre par le glomérule rénal | V:  Certains médicaments inhibent la synthèse d'enzymes responsables de la métabolisation |   Les médicaments liés aux protéines plasmatiques sont filtre rapide par le glomérule rénal | V:  La plupart des médicaments sont souvent liée aux protéines plasmatiques |   Le métabolisme des médicaments n'est pas influencé par le polymorphisme génétique
QCM || Question 10 :     On peut dire que : ||   Les doses administre aux personés âgée sont les mêmes que pour les personnes jeunes. | V:  Le transport actif est contre le gradient de concentration | V:  Héparine présente une masse moléculaire élevée | V:  Les médicaments liposolubles pénétrant dans les cellules | V:  Les enzymes déficient qui acétylent le isoniazide sont environ de 8% en population | V: Les préparations-dépôt de psychotropes présentes absorptions ralenties |   Le métabolisme des warfarine n'est pas influencé par l'administration concomitante des autres médicaments |   Le métabolisme des médicaments n'est pas influencé par l'âge après 80 ans |   Le métabolisme hépatique des médicaments n'est pas influencé par les maladies respiratoires |   Les barbituriques augmentent le métabolisme des contraceptifs oraux
QCM || Question 11 :  On peut dire que la réaction de conjugaison est par: || V:  Méthyle | V:  Sulfate |  Oxydation par les iso-enzymes P450 |  L'addition de groupe –OH au médicament | V:  Glutathion | Hydrolyse | V:  Acétyle |  Oxydation par le système mono-oxygénase P450 |  Réduction | V:  Glucuronide
