QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 2 :  A propos de la capside virale, nous pouvons dire: ||   a un rôle antiphagocitaire | V:  joue un rôle dans la fixation aux récepteurs de la cellule hôte |   est facilement dégradé par les alcools | V:  a un rôle protecteur | V:  donne la forme spécifique du virion |  est inhibé par des anticorps antiviraux | V:  se compose de capsomères |   joue un rôle dans la fixation aux récepteurs nucléaires | V:  est une structure protéique présente dans tous les virus |   est une structure présente uniquement aux virus nus
QCM || Question 3 :  A propos du enveloppe virale, nous pouvons dire: ||   nʼest pas une structure antigénique | V:  est sensible à l’action des alcools et des détergents |   est spécifique aux virus à ADN | V:  est présent uniquement dans les virus enveloppés | V:  est une structure dérivée de la membrane de la cellule hôte | V: a en surface des glycoprotéines avec le rôle de ligands au niveau des récepteurs cellulaires |   a une structure protéique |  joue un rôle dans la défense du virus contre les cellules de défense de lʼhôte | V:  peut avoir en surface des glycoprotéines avec le rôle dʼenzymes |   nʼest pas présent dans les coronavirus
QCM || Question 4 :  Génome viral : ||   est le siège de la réplication virale |   a un seul chromosome |   peut contenir des plasmides |   se compose dʼADN et dʼARN | V:  est composé d'ADN ou d’ARN | V: les virus à ADN sont répliqués dans le noyau de la cellule cible | V:  est répliqué dans la cellule infectée | V:  contient lʼinformation génétique du virus |   est plus résistant aux virus nus | V:  code pour toutes les protéines et enzymes virales
QCM || Question 5 :  A propos des virus de la grippe, nous pouvons dire: ||   il nʼy a pas de traitement antiviral disponible |   il nʼy a pas de vaccin contre la grippe disponible |  sont des virus nus | V: ont un génome dʼARN segmenté | V:  sont des virus enveloppés |  ne présente pas de variation antigénique | V: appartiennent au genre Influenza virus |  sont des virus à ADN | V:  les glycoprotéines spécifiques sont lʼhémagglutinine et la neuraminidase | V:  peut causer une pneumonie interstitielle
QCM || Question 6 :  A propos du virus de lʼimmunodéficience humaine, nous pouvons dire: ||   les glycoprotéines de la capside sont gp120 et gp 41 | V:  les cellules cibles sont des cellules dotées de récepteurs CD4 | V:  est un rétrovirus |   le diagnostic indirect nʼest pas utile | V:  présente la transcriptase inverse et l’intégrase | V: peut infecter les macrophages | V:  a un génome dʼARN |   est un virus nu |   provoque une infection aiguë spontanément résolutive |   il nʼy a pas de thérapie spécifique
QCM || Question 7 :  Virus de l’hépatite B (VHB) : ||   est un virus capsulé | V:  la virémie plasmatique est déterminée par PCR |   le diagnostic sérologique nʼest pas utile | V:  possèdent des antigènes spécifiques HBs Ag, Hbe Ag |   le diagnostic direct implique la détection de HBc Ag dans le sérum |  HBs Ag nʼest pas détectable dans le sérum dans la phase aiguë de la maladie | V:  est un virus à ADN |   par PCR nous pouvons détecter quantitativement HBsAg | V:  le vaccin contre lʼhépatite B est un vaccin cloné | V:  le diagnostic direct implique la détection de HBs Ag dans le sérum
QCM || Question 8 :  Virus de lʼhépatite C: || V:  le diagnostic est fait de routine par des méthodes sérologiques |   est un virus à ADN | V:  peut causer des infections chroniques |   les antigènes viraux ne sont pas détectables dans le sang |   le vaccin anti hépatite C nʼa une efficacité que chez 90 % des personnes vaccinées | V: est un virus à ARN | lʼinfection par le virus de lʼhépatite C est incurable | V:  est un virus enveloppé |   est un virus nu | V:  La PCR est un test de confirmation de lʼinfection par le virus de lʼhépatite C
QCM || Question 9 :  Virus SARS-CoV-2 : || V:  provoque une mononucléose infectieuse | V:  il peut être transmis par la salive |  appartient à la famille des virus herpétiques | V:  est un virus à ARN | V:  causer une infection latente |  est un virus ADN |  est un virus nu |  se transmet uniquement sexuellement | V:  détermine la grippe saisonnière |   appartient a la famille des virus de lʼhépatite
QCM || Question 10 :  Le virus d'Epstein Barr : ||   fait partie de la famille des virus de l'hépatite | V:  provoque une infection latente |   est un virus à ARN | V:  est un virus à ADN |   elle n'est transmise que par voie sexuelle | V: peut être transmis par la salive | V:  fait partie de la famille des virus de l’herpès | V:  cause la mononucléoses infectieuse |   est un virus nu |   causes de la grippe saisonnière
QCM || Question 11 :  Infections inapparentes: ||   sont aussi appelées infections latentes |   au cours de ces infections, la réponse immunitaire nʼapparaît pas | V:  la seule manifestation détectable est la réponse immunitaire |   micro-organismes non pathogènes détermine généralement infections inapparents |   les infections inapparentes peuvent être causées que par des bactéries | V: sont aussi appelées infections infection asymptomatique | V:  la réponse immunitaire est spécifique au microorganisme infectant | V:  sont exempts de symptômes ou de signes cliniques | V:  sont aussi appelées infections sous-cliniques |   les signes et symptômes qui apparaissent sont réduits
